"STT","Brand_TenSP","Anh_Main","Anh_Card","URL"
"113","Guerlain Aqua Allegoria Forte Rosa Palissandro EDP","113-guerlain-aqua-allegoria-forte-rosa-palissandro-edp-main.webp","nuoc-hoa-guerlain-aqua-allegoria-forte-rosa-palissandro-edp-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-unisex-guerlain-guerlain-aqua-allegoria-forte-rosa-palissandro-edp"
"114","Guerlain Aqua Allegoria Nettare Di Sole","114-guerlain-aqua-allegoria-nettare-di-sole-main.jpg","nuoc-hoa-guerlain-aqua-allegoria-nettare-di-sole-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-guerlain-aqua-allegoria-nettare-di-sole"
"115","GUERLAIN Champs-Élysées EDP","115-champs-elysees-edp-main.jpg","115-champs-elysees-edp-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-champs-elysees-edp"
"116","GUERLAIN Habit Rouge Eau de Toilette","116-habit-rouge-eau-de-toilette-main.jpg","116-habit-rouge-eau-de-toilette-main.jpg","https://www.maisondeson.com/nuoc-hoa-nam-guerlain-habit-rouge-eau-de-toilette"
"117","GUERLAIN Habit Rouge Parfum","117-habit-rouge-parfum-main.jpg","117-habit-rouge-parfum-main.jpg","https://www.maisondeson.com/nuoc-hoa-nam-guerlain-habit-rouge-parfum"
"118","GUERLAIN Insolence EDP","118-insolence-edp-main.jpg","118-insolence-edp-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-insolence-edp"
"119","GUERLAIN L'Heure Bleue Eau de Parfum","119-l-heure-bleue-eau-de-parfum-main.jpg","119-l-heure-bleue-eau-de-parfum-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-l-heure-bleue-eau-de-parfum"
"120","GUERLAIN L'Heure Bleue Eau de Toilette","120-l-heure-bleue-eau-de-toilette-main.jpg","120-l-heure-bleue-eau-de-toilette-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-l-heure-bleue-eau-de-toilette"
"121","GUERLAIN L'Homme Idéal Eau de Parfum","121-l-homme-ideal-eau-de-parfum-main.jpg","121-l-homme-ideal-eau-de-parfum-main.jpg","https://www.maisondeson.com/nuoc-hoa-nam-guerlain-l-homme-ideal-eau-de-parfum"
"122","GUERLAIN L'Homme Idéal Parfum","122-lhomme-ideal-parfum-main.jpg","122-lhomme-ideal-parfum-main.jpg","https://www.maisondeson.com/nuoc-hoa-nam-guerlain-lhomme-ideal-parfum"
"123","GUERLAIN L'Instant de Guerlain EDP","123-linstant-de-guerlain-femme-main.jpg","123-linstant-de-guerlain-femme-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-linstant-de-guerlain-femme"
"124","GUERLAIN L'Instant de Guerlain Pour Homme EDP","124-linstant-homme-edp-main.jpg","124-linstant-homme-edp-main.jpg","https://www.maisondeson.com/nuoc-hoa-nam-guerlain-linstant-homme-edp"
"125","GUERLAIN Mitsouko EDP","125-mitsouko-edp-main.jpg","125-mitsouko-edp-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-mitsouko-edp"
"126","GUERLAIN Mon Guerlain EDP","126-mon-guerlain-main.jpg","126-mon-guerlain-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-mon-guerlain"
"127","GUERLAIN Mon Guerlain Intense","127-mon-guerlain-intense-main.jpg","127-mon-guerlain-intense-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-mon-guerlain-intense"
"128","GUERLAIN Samsara EDP","128-samsara-edp-main.jpg","128-samsara-edp-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-samsara-edp"
"129","GUERLAIN Shalimar Eau de Parfum","129-shalimar-eau-de-parfum-main.jpg","129-shalimar-eau-de-parfum-main.jpg","https://www.maisondeson.com/nuoc-hoa-nu-guerlain-shalimar-eau-de-parfum"
